ID,title,clipper,PreviewImageUrl
KitschyDifficultElkSmoocherZ-VYJ0v5OWo6NWvRf3,"Сердце желало искусства, а искусство это ВЗРЫВ",wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/efca15a8-f339-463a-aa83-70ad07b38dc9/landscape/thumb/thumb-0000000000-480x272.jpg
AmusedSpunkyPeachSMOrc-iLVrAz3Pd9fv2Vib,Нннннннне боюсь я,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/7795ed57-a1b1-4ef8-9fdd-570f58a168f8/landscape/thumb/thumb-0000000000-480x272.jpg
DiligentProtectivePotTriHard-Tx0CFoaXAdhvLp8m,Ульта вникуда,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/c4b57b75-0894-4db8-993d-5580b000cca7/landscape/thumb/thumb-0000000000-480x272.jpg
MildEnchantingFlamingoDatSheffy-oS5XOnovoo4DWrIw,Самый милейший и работящий B1 (bad end),wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/8c564813-3da5-4d7c-845f-494c133f269d/landscape/thumb/thumb-0000000000-480x272.jpg
AnnoyingDeliciousCakeFutureMan-GdjcsKVP9NoGtSE5,"Нет большего врага, чем пуля тимейта",wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/25fc7b69-8c9b-43f5-9b50-29066c18d110/landscape/thumb/thumb-0000000000-480x272.jpg
HumbleIntelligentSalmonDAESuppy-_T2L1qEOKwwECkNE,Под давлением чата ушёл из работяг в киберкотлеты,featherine_auau,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/7b012aae-9d93-4e80-a9f1-24315ec14dc7/landscape/thumb/thumb-0000000000-480x272.jpg
ViscousBloodyTomatoMVGame-8vZN1GCEBoZvxFMR,Куча гомна,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/a07a706c-d328-4c60-b4d4-7c83a1c920c7/landscape/thumb/thumb-0000000000-480x272.jpg
FaithfulCaringKiwiArgieB8-bTlyG-7OIp-NgtLf,Под давлением чата ушёл из работяг в киберкотлеты,featherine_auau,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/1669a463-98ae-4ceb-936e-3ab76a1d9d33/landscape/thumb/thumb-0000000000-480x272.jpg
BraveChillyConsoleSpicyBoy-7lD7KPi0JDIes98b,ханзО,featherine_auau,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/31c1d829-1a60-4f24-a99f-424cd6ef40fc/landscape/thumb/thumb-0000000000-480x272.jpg
PatientFineGuanacoTinyFace-nq1tsjcp4mC9AG6o,Тебе необходимо купить...,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/be8a63af-0655-46a9-bcf7-f1b7ce6bcaaa/landscape/thumb/thumb-0000000000-480x272.jpg
KnottySarcasticPizzaDeIlluminati-Ji-hzQg-uaS8gbRZ,Под давлением чата ушёл из работяг в киберкотлеты,featherine_auau,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/ce1d1421-d5f6-4ad8-8c58-6c3c64c56f1a/landscape/thumb/thumb-0000000000-480x272.jpg
ColdbloodedObeseAntelopeChefFrank-QRsXcgZXVK1fV0MK,Можно дать в рот,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/70b1f23d-af5d-4816-9a83-c95f2f80cd6b/landscape/thumb/thumb-0000000000-480x272.jpg
ImpossibleScrumptiousIguanaTTours-sFOC8eQqpxTTcVOE,Чью он трогает?,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/abf0c3ff-cda2-4a93-b726-dc59415c8f2b/landscape/thumb/thumb-0000000000-480x272.jpg
ColdOpenAntCopyThis-hSBotAx-qfbWKlIq,олений пенис,featherine_auau,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/85ce6d87-be09-43ee-85db-cc76a7dcaf57/landscape/thumb/thumb-0000000000-480x272.jpg
BrightEncouragingWaterAliens-aO3j9IkPJr3SMbje,Торжественная клятва о неиспользовании Алисы,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/afab36f6-f168-4655-a18b-e8030dbb43c0/landscape/thumb/thumb-0000000000-480x272.jpg
WildDeterminedMonitorPlanking-bOlxXa-6Zl8VDr64,Я ломал стекло,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/ece59c60-a3b9-4927-806d-54a0d9942d0e/landscape/thumb/thumb-0000000000-480x272.jpg
InnocentTenderWasabiHotPokket-vaBvkOO4NpEIlj97,Связана и унижена,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/290b034a-65dd-41ba-8c8b-f6302a44910c/landscape/thumb/thumb-0000000000-480x272.jpg
ElegantInexpensiveCurryCharlieBitMe-Qh20O9wQwZq6WWlt,Посмотрел фильм в котором был нетрадиционный персонаж,mayonez3six,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/38ea2cd8-6863-426e-9bff-a2abf0e2a5e2/landscape/thumb/thumb-0000000000-480x272.jpg
NeighborlyTenuousElkCoolStoryBro-SjWASxpzNgTTa4cQ,Замочил деда,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/67caa45b-3811-4d1c-b01c-189027aa0ae8/landscape/thumb/thumb-0000000000-480x272.jpg
GlamorousSmoothHippoTheRinger-7tcQq14qTp74Uzif,я жду,featherine_auau,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/a7049055-a1e2-4081-bc4f-db5df24106fd/landscape/thumb/thumb-0000000000-480x272.jpg
UnusualImportantMageSMOrc-b4umSokUYbVXoVhd,"Нет повести печальнее на свете, чем повесть, где Бард проигрывает детям",wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/9de76cf5-1d29-4a48-b60f-34328fdac80a/landscape/thumb/thumb-0000000000-480x272.jpg
ImportantInspiringChowderAMPTropPunch-a1WRZQGhocfsCYbM,Бард - главная фанатка Орка,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/aea81523-972f-420d-bed2-1f764fcf7c6c/landscape/thumb/thumb-0000000000-480x272.jpg
TangentialSolidCasetteOneHand-xQuApBMpdS7cKDwL,3 в 1,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/2714639e-d2cb-4cba-affe-53a345338801/landscape/thumb/thumb-0000000000-480x272.jpg
DullSilkyBubbleteaPunchTrees-fsPDbHwj5iaE_XVK,Типичный Бард Откисоний,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/01a765e6-0e27-4744-834d-da160d61c52d/landscape/thumb/thumb-0000000000-480x272.jpg
FineArtisticKittenNononoCat-9ZSCAYTtqrhAVUTl,итс переодеваний тайм,featherine_auau,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/731d421d-96a9-44e8-a9f7-79e5b4981ec9/landscape/thumb/thumb-0000000000-480x272.jpg
LongSavoryPigeonFUNgineer-1qNEwRTbMkg8W7d8,Любитель маленьких громил,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/1c9df73b-88f1-42af-b337-0ffbb1c7382e/landscape/thumb/thumb-0000000000-480x272.jpg
RelievedThirstyFiddleheadsPunchTrees-2zLXVW4aF88ot7xH,Yes! -3!!! Yahooooo,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/7670c30c-e0fe-45a3-83e7-b6a7790498c8/landscape/thumb/thumb-0000000000-480x272.jpg
SmilingOutstandingGalagoOSsloth-mK50ETuY-W774nCv,Чудо рождения!,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/12479313-62c0-4ba1-8970-b4d09956c07c/landscape/thumb/thumb-0000000000-480x272.jpg
JollyGloriousPieDBstyle-O7hVgOGn7CePMVER,"Диспетчер, что победил Стоячелло",wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/773844bc-5bb0-40a4-96eb-50e83433f9ef/landscape/thumb/thumb-0000000000-480x272.jpg
ElegantStrangeQuailImGlitch-GRTeQhQIkM3ToKQK,бард какого хрена,dragon_candy_heart,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/cbab61e9-c1dd-4255-b307-ec84b3715701/landscape/thumb/thumb-0000000000-480x272.jpg
PatientRockyNarwhalOMGScoots-y_NO1wl-WZ-dFjQY,пёс железный,BardWithoutLute,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/707a3e8d-729d-4ec2-ab10-83dc99d26469/landscape/thumb/thumb-0000000000-480x272.jpg
ObeseAbrasiveCockroachPeanutButterJellyTime-0XBMoqWYT8nX8E3Z,где же хилочка?,featherine_auau,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/e5b5a7f7-456a-409a-9b2e-f3534433b784/landscape/thumb/thumb-0000000000-480x272.jpg
EnergeticNiceDillBIRB-Ct24H3FeQtOBndmJ,Skills,kotsow,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/7fdcb9f9-1dc0-4200-b25e-4a842c4f3a82/landscape/thumb/thumb-0000000000-480x272.jpg
AltruisticTransparentIcecreamDancingBaby-T6U9SjH7EnMdtvA8,Даже Альтрону ведомо милосердие,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/bd38191f-6ec6-4564-8169-1b1efd72ea51/landscape/thumb/thumb-0000000000-480x272.jpg
SolidResoluteDiscLeeroyJenkins-5EP5RP5R5cpeRXAy,Популярность - тяжкая ноша,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/f9f23173-4194-43da-9ed5-2b56a5949f10/landscape/thumb/thumb-0000000000-480x272.jpg
RelentlessExquisiteButterflyNerfRedBlaster-OdOOeApa5Zldg1K3,Две Задницы Джин Грей,Axelstray,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/d64a64bf-83e4-4391-9ba6-e54d64d6945b/landscape/thumb/thumb-0000000000-480x272.jpg
HelplessShinyWaterPeteZaroll-Rlf59ckMgZ2kCjjS,Не попал в дырку Стренджа,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/a90de2aa-2669-4ccb-96cb-1af5641fd8ff/landscape/thumb/thumb-0000000000-480x272.jpg
EnchantingLightDootDogFace-nRm9K4ODHvjEkag-,МАКСИМ! АНТОН! А где Миша????,长仨卜丨丂廾工卜丨,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/afcb3536-a8f4-49ff-9e3a-966799ac168c/landscape/thumb/thumb-0000000000-480x272.jpg
PeacefulFaithfulEyeballTebowing-CW0kJRBn4oW7vYtO,Бард покупает кекс игры,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/4768cf58-cc5f-4895-9511-6d7c1e875fe9/landscape/thumb/thumb-0000000000-480x272.jpg
AliveMoralLouseJKanStyle-jvyrxIfdMAR-Jr3n,Стон Барда,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/47a7718c-94d0-4692-a140-fcc964648fc9/landscape/thumb/thumb-0000000000-480x272.jpg
AttractiveCoweringBaboonFunRun-CV-4IUHlNgueiM1I,создание квадробера завершена,greshnikxd,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/b9cc1141-8bed-4931-9ef4-3c2bcdc06e5d/landscape/thumb/thumb-0000000000-480x272.jpg
PiercingAltruisticChickenDoggo--ZXIUJvoRZL43Ob7,первый полет,greshnikxd,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/1a32a5ff-e20f-408a-87b9-321e2e5b209b/landscape/thumb/thumb-0000000000-480x272.jpg
FilthyPiercingQueleaVoteNay-5eDnCoPargvV17VT,полет квадробера,greshnikxd,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/febf1504-7b4e-4931-a224-339e7fdedd1b/landscape/thumb/thumb-0000000000-480x272.jpg
AwkwardHedonisticHerringJonCarnage-imwK5g27-1WIi_8L,БИТА,BardWithoutLute,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/d5c2d7f2-fc67-4b40-ad2e-2ddc1469a7ab/landscape/thumb/thumb-0000000000-480x272.jpg
ScaryConsiderateCoyoteOMGScoots-cxAkWydWHS91Ab-7,Туалеты в порядке,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/999a6b4f-2674-4fa5-825f-c1898c119ce7/landscape/thumb/thumb-0000000000-480x272.jpg
AthleticAggressiveMartenCmonBruh-Y7IZEtwTQV2uBEMo,AGAIN x2,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/cc9088d2-fbc2-4967-bd45-42532ef087f9/landscape/thumb/thumb-0000000000-480x272.jpg
VastOpenTitanOSsloth-uvMYF2nUt6wyTtKK,Дырка Барда,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/a1c526e6-4bfb-48d8-9539-9ee08009e9cf/landscape/thumb/thumb-0000000000-480x272.jpg
WonderfulProtectiveSheepSwiftRage-WSborINbJh_D4Uht,ФОРТУНЕЙД,BardWithoutLute,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/6735c6d5-2403-4374-93a7-9dbebb0675d4/landscape/thumb/thumb-0000000000-480x272.jpg
ProudPricklyZucchiniWow-4IkEfE94T9CBxy3B,Возраст согласия,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/530fa915-c049-48dc-adde-f57d0534055c/landscape/thumb/thumb-0000000000-480x272.jpg
DoubtfulHeartlessPeafowlChocolateRain-Cv39op03ENFwKvpH,Нетнетнет,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/4a59cd48-aa95-49bf-a7f9-707aa0a1cab5/landscape/thumb/thumb-0000000000-480x272.jpg
VastEnchantingWormFunRun-y3bx49SCMJM2rOac,всем лайкать перевод,K_E_M_A_N,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/a585af29-a508-47e3-b62c-8bc4f490b21e/landscape/thumb/thumb-0000000000-480x272.jpg
InspiringInnocentLocustEagleEye-fAeIWbgfbT0QhAOZ,Мега сальто,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/95070066-58d2-49f2-9e9d-4af3b0eedd19/landscape/thumb/thumb-0000000000-480x272.jpg
TenuousCrypticJamThisIsSparta-oMrHNqA26jwZgSU_,Он бьёт Падме и Юнглингов... Потому что он Дарт Вейдер,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/781906e3-3cc9-48d8-a484-9e4e73f4213a/landscape/thumb/thumb-0000000000-480x272.jpg
EnjoyableSarcasticCheddarWutFace-j6y2nYLlYcn87-nR,Звук и нас там трахали,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/73feda9e-ed8e-4bc5-a08a-36ded9e9c1d5/landscape/thumb/thumb-0000000000-480x272.jpg
BoxyPeppyFinchWoofer-N-rzG4a3OOS0Ghxv,Парирование,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/3c053678-9d8d-4cc6-b382-cd3cb06c3ace/landscape/thumb/thumb-0000000000-480x272.jpg
CrowdedShakingMuleBrainSlug-YeHBiJPRtMahwOTf,"Ессс, минус сквад, Юху!",wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/f94b58d9-8a70-48ee-a287-fff27afef3e7/landscape/thumb/thumb-0000000000-480x272.jpg
CredulousNiceGarbageCoolStoryBro-eE9fG4TDE4SbcmMJ,"Барри, стой!",Nezumessa,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/5a48b8dd-ce28-411b-8b32-a353c857a282/landscape/thumb/thumb-0000000000-480x272.jpg
BoxyTenderCoffeePJSugar-nK-Mp3pFKjsqNu27,Энлаер хрен попадёшь,BardWithoutLute,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/b9b2f213-f0de-435c-a289-2a6f3c0dbb19/landscape/thumb/thumb-0000000000-480x272.jpg
KnottyReliableChipmunkKAPOW-O9JAj38skWDiI-0L,ох уж эти билборды,BardWithoutLute,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/e1c08338-9498-4f0b-84d6-ea91070e1ee9/landscape/thumb/thumb-0000000000-480x272.jpg
BenevolentReliablePartridgeHoneyBadger-q0k4sGMx1RcZ9EP4,Концовка убила,mad_23r,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/50dea825-2a64-4a38-b2e0-777a14e72e09/landscape/thumb/thumb-0000000000-480x272.jpg
OpenChillyAyeayeSquadGoals-5BgHaGHW_D4pF758,Ом мани падме хум,Eagle_42,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/98f52fd8-5dbe-433a-b1e0-5e7fb86cd9b6/landscape/thumb/thumb-0000000000-480x272.jpg
SparklingEntertainingCheddarHeyGirl-ygpIrljwFopJ6KKX,хоум ран,mad_23r,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/f107dc04-ac6f-42ac-ac32-82876c6b2864/landscape/thumb/thumb-0000000000-480x272.jpg
AnnoyingVenomousKoalaTwitchRaid-i587oqNrVhVWVacy,пинаем врагов битой,mad_23r,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/87ed9e2f-b9fa-4edc-9fe0-f6076523451e/landscape/thumb/thumb-0000000000-480x272.jpg
InnocentMistyGoatTheTarFu-BDRiZlF_SEWosMyu,начали и (за)кончили,mad_23r,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/f7a8049e-5bbc-439c-89a0-8be2a23f9aee/landscape/thumb/thumb-0000000000-480x272.jpg
RockyFitButterAMPTropPunch-T9iDYxrHnvXQ7Zxj,Хочу мужика,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/11e8061d-3632-4a84-89f5-32ed9fe87cf2/landscape/thumb/thumb-0000000000-480x272.jpg
CoweringSucculentHerdSwiftRage-0nQX14USaNrc6OGp,В дырочку с битой,mad_23r,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/35797170-b01d-402d-9439-c5195c1c557b/landscape/thumb/thumb-0000000000-480x272.jpg
UninterestedBovineTomatoOhMyDog-N1i2nq00asSyscSp,для следующего превью,mad_23r,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/18190b3d-b2b4-462e-96d8-8fa983a53efd/landscape/thumb/thumb-0000000000-480x272.jpg
HardHonorableFalconKappaRoss-2bAz-oUHU9d1LiEN,Великий призыв к действию,mad_23r,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/6e614147-5237-42c8-98e3-f7e2a9b23f73/landscape/thumb/thumb-0000000000-480x272.jpg
PleasantIncredulousCockroachUnSane-C4qtzGSgClewT9gO,Буду срать кстати,BEPKC_,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/dcbbe5e3-ce17-4a45-8555-67efa93a9471/landscape/thumb/thumb-0000000000-480x272.jpg
SquareMoldyBeanCharlieBitMe-xZQvq2Q0yChhPqbB,бульк,mayonez3six,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/21ea9c62-c2d1-45e8-aeb7-8177b37abec8/landscape/thumb/thumb-0000000000-480x272.jpg
EvilImpartialWaspDatBoi-P1sRKR_31xFQfNuj,Векзапное появление Незуми на стриме,mad_23r,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/d36c67f4-b050-4248-8666-755246422ee7/landscape/thumb/thumb-0000000000-480x272.jpg
SuspiciousKathishDinosaurItsBoshyTime-ld7tnEnOn89IqiRl,"чистосердечное признание барда, в содеянном",dragon_candy_heart,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/00578ca7-caf9-44a7-af06-07c679a1f5c0/landscape/thumb/thumb-0000000000-480x272.jpg
UnusualHotHyenaRitzMitz-yu1WIVMz5z8NH4Oe,Шок! Жареная Незуми!,Eagle_42,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/4d57d00f-8cd1-49e5-9b80-da90bde399b4/landscape/thumb/thumb-0000000000-480x272.jpg
MagnificentPlainWrenBibleThump-Xp0uCuVo1XiJC-E1,Вдарим рок в этой дыре!,Eagle_42,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/76a8f71d-c61c-49b9-989e-f1e4babe43d2/landscape/thumb/thumb-0000000000-480x272.jpg
LongFunRaccoonDendiFace-atfhHV7dJ2PJmrJl,типичьный стрим барда,mayonez3six,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/1c476aa7-d801-48a7-8dbf-68ff2e4fd207/landscape/thumb/thumb-0000000000-480x272.jpg
GrotesqueTrustworthyMartenDerp-zIqbETKE9iaj7931,"Что быстро влетает, то быстро станит",wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/8dbdae2f-2a31-43b1-8d8d-dcd57f1b1eb3/landscape/thumb/thumb-0000000000-480x272.jpg
CovertSuccessfulPorcupineSuperVinlin-65dCSJWHHyifbiv-,Бог пинков против всех,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/c6b52adf-68e8-4037-9fba-74b134fda84f/landscape/thumb/thumb-0000000000-480x272.jpg
ProudBombasticArmadilloYouDontSay-88TCpz4zMt-AXfnp,Потолок наказан,YaBenjamin,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/0aaf8cbc-1c26-4a98-8af8-a642cbbaab43/landscape/thumb/thumb-0000000000-480x272.jpg
HeartlessFlirtyAdminVoteNay-wnAdgn7DQ_d5P4bc,Анх несущий правосудие,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/59e6a6d5-1a49-4c92-879b-0dc5ee2a573b/landscape/thumb/thumb-0000000000-480x272.jpg
UglySpeedyHamResidentSleeper-BYdHBsbH4zA55Ru2,Технические консультанции от Барда,Eagle_42,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/e86563a8-b934-4f8c-87c5-e399fd0ebd83/landscape/thumb/thumb-0000000000-480x272.jpg
CrypticFamousReindeerOSkomodo-W_0jTCljpFeOhm5h,Барду надоел semen на лице,wostok_wq,https://static-cdn.jtvnw.net/twitch-video-assets/twitch-vap-video-assets-prod-us-west-2/e10411b2-fff9-4ef9-964e-b8953e543ada/landscape/thumb/thumb-0000000000-480x272.jpg
